iter	Passed	Remaining
0	7	1501
1	8	851
2	9	623
3	10	522
4	11	459
5	13	423
6	14	392
7	15	363
8	16	339
9	17	326
10	18	312
11	19	298
12	19	285
13	21	285
14	22	279
15	23	271
16	24	264
17	25	259
18	26	253
19	27	248
20	29	250
21	30	244
22	31	240
23	32	234
24	33	231
25	33	226
26	34	222
27	35	218
28	36	215
29	38	216
30	39	213
31	40	210
32	41	208
33	42	206
34	43	205
35	44	204
36	46	203
37	47	200
38	47	197
39	48	195
40	49	192
41	50	189
42	51	186
43	52	187
44	54	186
45	55	185
46	56	183
47	57	181
48	58	179
49	59	177
50	60	177
51	62	176
52	62	174
53	63	172
54	64	170
55	65	169
56	67	168
57	67	166
58	68	164
59	70	163
60	71	161
61	72	160
62	73	159
63	74	157
64	75	156
65	76	155
66	78	154
67	78	153
68	79	151
69	80	149
70	81	147
71	82	146
72	83	145
73	84	144
74	86	143
75	87	142
76	88	141
77	89	140
78	90	138
79	91	137
80	93	136
81	93	135
82	94	133
83	95	132
84	96	130
85	97	129
86	98	127
87	99	126
88	100	124
89	100	123
90	103	123
91	104	122
92	105	121
93	106	120
94	107	118
95	108	118
96	110	117
97	111	115
98	112	114
99	113	113
100	114	111
101	115	110
102	115	109
103	116	107
104	118	106
105	119	105
106	120	104
107	121	103
108	122	102
109	123	100
110	124	99
111	126	99
112	127	97
113	128	96
114	129	95
115	130	94
116	131	92
117	131	91
118	133	90
119	134	89
120	135	88
121	136	87
122	137	85
123	138	84
124	139	83
125	140	82
126	142	81
127	143	80
128	144	79
129	145	78
130	146	77
131	147	75
132	148	74
133	149	73
134	150	72
135	151	71
136	152	70
137	153	68
138	154	67
139	155	66
140	156	65
141	157	64
142	158	63
143	159	62
144	160	61
145	161	59
146	162	58
147	163	57
148	164	56
149	165	55
150	167	54
151	167	53
152	169	51
153	169	50
154	171	49
155	172	48
156	173	47
157	174	46
158	175	45
159	176	44
160	177	42
161	178	41
162	179	40
163	179	39
164	180	38
165	182	37
166	182	36
167	183	35
168	185	33
169	185	32
170	187	31
171	188	30
172	189	29
173	190	28
174	191	27
175	192	26
176	193	25
177	194	24
178	195	22
179	195	21
180	196	20
181	197	19
182	199	18
183	200	17
184	201	16
185	202	15
186	203	14
187	205	13
188	206	12
189	208	10
190	209	9
191	210	8
192	211	7
193	211	6
194	212	5
195	213	4
196	214	3
197	215	2
198	216	1
199	217	0
